id,name_en,name_ar,type,price,num_questions,competency_ids,timer_minutes,pdf_template,upsell_to,status,created_at
outdoor_sales_free,Outdoor Sales Scan,فحص المبيعات الميدانية,free,0,30,"[""mental_toughness"",""opening_conversations"",""identifying_real_needs"",""handling_objections"",""creating_irresistible_offers"",""mastering_closing"",""follow_up_discipline""]",20,basic,outdoor_sales_mri,active,2026-01-25 09:56:31.822266+00
outdoor_sales_mri,Outdoor Sales MRI Advanced,التصوير بالرنين المغناطيسي للمبيعات الميدانية,paid,97,75,"[""mental_toughness"",""opening_conversations"",""identifying_real_needs"",""consultative_selling"",""handling_objections"",""creating_irresistible_offers"",""mastering_closing"",""follow_up_discipline"",""time_territory_management"",""product_expertise"",""negotiation_skills"",""attitude_motivation_mindset"",""dealing_with_boss"",""handling_difficult_customers"",""handling_difficult_colleagues""]",90,advanced,,active,2026-01-25 09:56:31.822266+00
